dimacs-analyzer,dimacs-analyzer-time,dimacs-file,iteration,model-satisfiable
sat-competition/02-zchaff,351471597,kconfigreader/linux/v4.15[x86].dimacs,2,true
sat-competition/02-zchaff,392142479,kconfigreader/linux/v5.0[x86].dimacs,2,true
sat-competition/02-zchaff,417442879,kconfigreader/linux/v5.5[x86].dimacs,2,true
sat-competition/02-zchaff,477582431,kconfigreader/linux/v5.11[x86].dimacs,2,true
sat-competition/02-zchaff,497383936,kconfigreader/linux/v5.16[x86].dimacs,2,true
sat-competition/02-zchaff,535173892,kconfigreader/linux/v6.2[x86].dimacs,2,true
sat-competition/02-zchaff,595512932,kconfigreader/linux/v6.7[x86].dimacs,2,true
sat-competition/02-zchaff,9534403,kmax/linux/v2.5.45[i386].dimacs,2,true
sat-competition/02-zchaff,8775260,kmax/linux/v2.5.54[i386].dimacs,2,true
sat-competition/02-zchaff,9767556,kmax/linux/v2.6.1[i386].dimacs,2,true
sat-competition/02-zchaff,13199793,kmax/linux/v2.6.11[i386].dimacs,2,true
sat-competition/02-zchaff,16945083,kmax/linux/v2.6.15[i386].dimacs,2,true
sat-competition/02-zchaff,21140080,kmax/linux/v2.6.20[i386].dimacs,2,true
sat-competition/02-zchaff,28074455,kmax/linux/v2.6.24[x86].dimacs,2,true
sat-competition/02-zchaff,35676551,kmax/linux/v2.6.29[x86].dimacs,2,true
sat-competition/02-zchaff,40752858,kmax/linux/v2.6.33[x86].dimacs,2,true
sat-competition/02-zchaff,64739346,kmax/linux/v2.6.37[x86].dimacs,2,true
sat-competition/02-zchaff,82508304,kmax/linux/v3.2[x86].dimacs,2,true
sat-competition/02-zchaff,99950012,kmax/linux/v3.8[x86].dimacs,2,true
sat-competition/02-zchaff,107382286,kmax/linux/v3.13[x86].dimacs,2,true
sat-competition/02-zchaff,113965758,kmax/linux/v3.19[x86].dimacs,2,true
sat-competition/02-zchaff,126382826,kmax/linux/v4.4[x86].dimacs,2,true
sat-competition/02-zchaff,146037357,kmax/linux/v4.10[x86].dimacs,2,true
sat-competition/02-zchaff,162824709,kmax/linux/v4.15[x86].dimacs,2,true
sat-competition/02-zchaff,179837209,kmax/linux/v5.0[x86].dimacs,2,true
sat-competition/02-zchaff,195257233,kmax/linux/v5.5[x86].dimacs,2,true
sat-competition/02-zchaff,215726376,kmax/linux/v5.11[x86].dimacs,2,true
sat-competition/02-zchaff,239861571,kmax/linux/v5.16[x86].dimacs,2,true
sat-competition/02-zchaff,244412752,kmax/linux/v6.2[x86].dimacs,2,true
sat-competition/02-zchaff,243097972,kmax/linux/v6.7[x86].dimacs,2,true
sat-competition/02-zchaff,27593758,kconfigreader/linux/v2.5.45[i386].dimacs,3,true
sat-competition/02-zchaff,26349310,kconfigreader/linux/v2.5.54[i386].dimacs,3,true
sat-competition/02-zchaff,34892681,kconfigreader/linux/v2.6.1[i386].dimacs,3,true
sat-competition/02-zchaff,45946024,kconfigreader/linux/v2.6.11[i386].dimacs,3,true
sat-competition/02-zchaff,55391585,kconfigreader/linux/v2.6.15[i386].dimacs,3,true
sat-competition/02-zchaff,74826779,kconfigreader/linux/v2.6.20[i386].dimacs,3,true
sat-competition/02-zchaff,99380397,kconfigreader/linux/v2.6.24[x86].dimacs,3,true
sat-competition/02-zchaff,127168300,kconfigreader/linux/v2.6.29[x86].dimacs,3,true
sat-competition/02-zchaff,137381099,kconfigreader/linux/v2.6.33[x86].dimacs,3,true
sat-competition/02-zchaff,167667349,kconfigreader/linux/v2.6.37[x86].dimacs,3,true
sat-competition/02-zchaff,175115888,kconfigreader/linux/v3.2[x86].dimacs,3,true
sat-competition/02-zchaff,193798121,kconfigreader/linux/v3.8[x86].dimacs,3,true
sat-competition/02-zchaff,215551585,kconfigreader/linux/v3.13[x86].dimacs,3,true
sat-competition/02-zchaff,249764306,kconfigreader/linux/v3.19[x86].dimacs,3,true
sat-competition/02-zchaff,270008954,kconfigreader/linux/v4.4[x86].dimacs,3,true
sat-competition/02-zchaff,315967240,kconfigreader/linux/v4.10[x86].dimacs,3,true
sat-competition/02-zchaff,345954165,kconfigreader/linux/v4.15[x86].dimacs,3,true
sat-competition/02-zchaff,394456116,kconfigreader/linux/v5.0[x86].dimacs,3,true
sat-competition/02-zchaff,412030852,kconfigreader/linux/v5.5[x86].dimacs,3,true
sat-competition/02-zchaff,469222299,kconfigreader/linux/v5.11[x86].dimacs,3,true
sat-competition/02-zchaff,493920480,kconfigreader/linux/v5.16[x86].dimacs,3,true
sat-competition/02-zchaff,525394139,kconfigreader/linux/v6.2[x86].dimacs,3,true
sat-competition/02-zchaff,581167105,kconfigreader/linux/v6.7[x86].dimacs,3,true
sat-competition/02-zchaff,9240050,kmax/linux/v2.5.45[i386].dimacs,3,true
sat-competition/02-zchaff,8272190,kmax/linux/v2.5.54[i386].dimacs,3,true
sat-competition/02-zchaff,10849757,kmax/linux/v2.6.1[i386].dimacs,3,true
sat-competition/02-zchaff,13352005,kmax/linux/v2.6.11[i386].dimacs,3,true
sat-competition/02-zchaff,16398095,kmax/linux/v2.6.15[i386].dimacs,3,true
sat-competition/02-zchaff,21316462,kmax/linux/v2.6.20[i386].dimacs,3,true
